INFO:root:Start simulation
INFO:root:Start simulation
INFO:root:Start simulation
INFO:root:Start simulation
INFO:root:> Time step 172, take action 0, instance reward 0.0, cumulative reward 2.0, used 3.335759632056579 seconds
INFO:root:> Time step 173, take action 1, instance reward 0.0, cumulative reward 2.0, used 3.4893803847953677 seconds
INFO:root:> Time step 174, take action 1, instance reward 0.0, cumulative reward 2.0, used 3.432895340025425 seconds
INFO:root:> Time step 175, take action 2, instance reward 0.0, cumulative reward 2.0, used 3.4206839189864695 seconds
INFO:root:> Time step 176, take action 0, instance reward 0.0, cumulative reward 2.0, used 3.426484334981069 seconds
INFO:root:> Time step 177, take action 2, instance reward 0.0, cumulative reward 2.0, used 3.386164895957336 seconds
INFO:root:> Time step 178, take action 0, instance reward 0.0, cumulative reward 2.0, used 3.347718524048105 seconds
INFO:root:> Time step 179, take action 0, instance reward 0.0, cumulative reward 2.0, used 3.329940567025915 seconds
INFO:root:> Time step 180, take action 5, instance reward 0.0, cumulative reward 2.0, used 3.3587834641803056 seconds
INFO:root:> Time step 181, take action 5, instance reward 0.0, cumulative reward 2.0, used 3.438136742915958 seconds
INFO:root:> Time step 182, take action 0, instance reward 0.0, cumulative reward 2.0, used 3.3992948040831834 seconds
INFO:root:> Time step 183, take action 5, instance reward 0.0, cumulative reward 2.0, used 3.4686871548183262 seconds
INFO:root:> Time step 184, take action 3, instance reward 0.0, cumulative reward 2.0, used 3.3201768829021603 seconds
INFO:root:> Time step 185, take action 3, instance reward 0.0, cumulative reward 2.0, used 3.3722991379909217 seconds
INFO:root:> Time step 186, take action 2, instance reward 0.0, cumulative reward 2.0, used 3.2702538610901684 seconds
INFO:root:> Time step 187, take action 3, instance reward 0.0, cumulative reward 2.0, used 3.42017261008732 seconds
INFO:root:> Time step 188, take action 4, instance reward 0.0, cumulative reward 2.0, used 3.3460261358413845 seconds
INFO:root:> Time step 189, take action 3, instance reward 0.0, cumulative reward 2.0, used 3.25682354811579 seconds
INFO:root:> Time step 190, take action 1, instance reward 0.0, cumulative reward 2.0, used 3.2685833431314677 seconds
INFO:root:> Time step 191, take action 0, instance reward 0.0, cumulative reward 2.0, used 3.3122224300168455 seconds
INFO:root:> Time step 192, take action 1, instance reward 0.0, cumulative reward 2.0, used 3.4673620308749378 seconds
INFO:root:> Time step 193, take action 5, instance reward 0.0, cumulative reward 2.0, used 3.340737583814189 seconds
INFO:root:> Time step 194, take action 2, instance reward 0.0, cumulative reward 2.0, used 3.473523369990289 seconds
INFO:root:> Time step 195, take action 3, instance reward 0.0, cumulative reward 2.0, used 3.3798537750262767 seconds
INFO:root:> Time step 196, take action 1, instance reward 0.0, cumulative reward 2.0, used 3.2789195419754833 seconds
INFO:root:> Time step 197, take action 3, instance reward 0.0, cumulative reward 2.0, used 3.330004829214886 seconds
INFO:root:> Time step 198, take action 5, instance reward 0.0, cumulative reward 2.0, used 3.3394840098917484 seconds
INFO:root:> Time step 199, take action 0, instance reward 0.0, cumulative reward 2.0, used 3.3291177528444678 seconds
INFO:root:> Time step 200, take action 2, instance reward 0.0, cumulative reward 2.0, used 3.3954537231475115 seconds
INFO:root:> Time step 201, take action 2, instance reward 0.0, cumulative reward 2.0, used 3.438490004045889 seconds
INFO:root:> Time step 202, take action 5, instance reward 0.0, cumulative reward 2.0, used 3.298076279927045 seconds
INFO:root:> Time step 203, take action 3, instance reward 0.0, cumulative reward 2.0, used 3.392423177836463 seconds
INFO:root:> Time step 204, take action 2, instance reward 0.0, cumulative reward 2.0, used 3.432503451826051 seconds
INFO:root:> Time step 205, take action 4, instance reward 0.0, cumulative reward 2.0, used 3.3543647779151797 seconds
INFO:root:> Time step 206, take action 2, instance reward 0.0, cumulative reward 2.0, used 3.3508565651718527 seconds
INFO:root:> Time step 207, take action 5, instance reward 0.0, cumulative reward 2.0, used 3.272536443080753 seconds
INFO:root:> Time step 208, take action 4, instance reward 0.0, cumulative reward 2.0, used 3.344814287032932 seconds
INFO:root:> Time step 209, take action 2, instance reward 0.0, cumulative reward 2.0, used 3.374083158094436 seconds
INFO:root:> Time step 210, take action 5, instance reward 0.0, cumulative reward 2.0, used 3.2710776808671653 seconds
INFO:root:> Time step 211, take action 2, instance reward 0.0, cumulative reward 2.0, used 3.355773940915242 seconds
INFO:root:> Time step 212, take action 1, instance reward 0.0, cumulative reward 2.0, used 3.29086651885882 seconds
INFO:root:> Time step 213, take action 0, instance reward 0.0, cumulative reward 2.0, used 3.3955950741656125 seconds
INFO:root:> Time step 214, take action 2, instance reward 0.0, cumulative reward 2.0, used 3.3495381670072675 seconds
INFO:root:> Time step 215, take action 5, instance reward 0.0, cumulative reward 2.0, used 3.3752927221357822 seconds
INFO:root:> Time step 216, take action 3, instance reward 0.0, cumulative reward 2.0, used 3.3762708369176835 seconds
INFO:root:> Time step 217, take action 2, instance reward 0.0, cumulative reward 2.0, used 3.299314821138978 seconds
INFO:root:> Time step 218, take action 3, instance reward 0.0, cumulative reward 2.0, used 3.3187144200783223 seconds
INFO:root:> Time step 219, take action 0, instance reward 0.0, cumulative reward 2.0, used 3.3699236360844225 seconds
INFO:root:> Time step 220, take action 4, instance reward 0.0, cumulative reward 2.0, used 3.3107259860262275 seconds
INFO:root:> Time step 221, take action 4, instance reward 0.0, cumulative reward 2.0, used 3.2737484551034868 seconds
